traffic_rate_pps,selected_mac,action,reward,throughput_mbps,delay_ms,drops,collisions,baseline_tdma_throughput,baseline_csma_throughput,baseline_tdma_delay,baseline_csma_delay
100.0,TDMA,0,-0.30808080808080807,0.0,0.0,61,0,1.18,1.1824,0.11893684881355945,0.0016709736129905345
147.0,CSMA_CA,1,-0.2903225806451613,0.0,0.0,90,8,1.7552,1.8032,0.12630552415679097,0.0017593163265305996
194.0,CSMA_CA,1,-0.32124352331606215,0.0,0.0,124,8,2.3392,2.332,0.13690335841313261,0.001884763636363633
242.0,TDMA,0,-0.32456140350877194,0.0,0.0,148,0,2.9064,2.9272,0.1544287481420311,0.0020416471713582836
289.0,TDMA,0,-0.26257861635220126,0.0,0.0,167,0,3.4832,3.5488,0.16838809623334863,0.0021895888187556407
336.0,CSMA_CA,1,-0.3125,0.0,0.0,220,52,3.7832,3.8624,0.1732913250158594,0.0022398572908036603
384.0,TDMA,0,-0.266304347826087,0.0,0.0,196,0,4.56,4.536,0.2086502384210527,0.0026586841269841278
431.0,CSMA_CA,1,-0.3329938900203666,0.0,0.0,327,136,5.1632,5.2272,0.2344910982336537,0.003164939393939376
478.0,TDMA,0,-0.2598684210526316,0.0,0.0,237,0,5.6416,5.7104,0.2704760249574595,0.003849980106472393
526.0,TDMA,0,-1.362329296660118,0.024,183.978,268,0,6.2344,6.4304,0.317571074682408,0.006308623787011667
573.0,CSMA_CA,1,-0.3062080536912752,0.0,0.0,365,206,6.7728,6.8704,0.4063887374202675,0.009222483814625019
621.0,CSMA_CA,1,-0.3128,0.0,0.0,391,262,7.2168,7.472,0.5221748340538734,0.06466855760171328
668.0,CSMA_CA,1,-0.31298299845440497,0.0,0.0,405,319,7.5336,7.3256,0.6037502389295952,0.5560382712678814
715.0,CSMA_CA,1,-0.29343365253077974,0.0,0.0,429,376,7.824,7.2688,0.7452977935582807,0.9170868674884429
763.0,CSMA_CA,1,-0.2719298245614035,0.0,0.0,434,422,8.1928,7.2352,0.9108479414119707,1.2341325789473712
810.0,CSMA_CA,1,-0.27,0.0,0.0,432,439,8.392,7.208,1.2043994207816964,1.454390751276357
857.0,CSMA_CA,1,-0.26977567886658793,0.0,0.0,457,560,8.5264,7.184,1.414037224244702,1.8123896836302875
905.0,TDMA,0,-0.22342857142857142,0.0,0.0,391,0,8.648,7.164,1.6217029140610495,2.1413305989949727
952.0,CSMA_CA,1,-0.25620280474649404,0.0,0.0,475,636,8.6592,7.1752,1.875929631651884,2.357673667967447
1000.0,TDMA,0,-0.2111984282907662,0.0,0.0,430,0,8.7024,7.156,2.074338869553223,2.605177853325881
