traffic_rate,traffic_rate_unit,end_to_end_delay,delay_unit,protocol,N,trial_id
100.0,packets/sec,0.0014191419753086488,seconds,ALOHA,150,trial_20260309_211329
100.0,packets/sec,0.11893684881355945,seconds,TDMA,150,trial_20260309_211329
100.0,packets/sec,0.0016709736129905345,seconds,CSMA_CA,150,trial_20260309_211329
147.0,packets/sec,0.0014463441926345626,seconds,ALOHA,150,trial_20260309_211329
147.0,packets/sec,0.12630552415679097,seconds,TDMA,150,trial_20260309_211329
147.0,packets/sec,0.0017593163265305996,seconds,CSMA_CA,150,trial_20260309_211329
194.0,packets/sec,0.0014824469914040013,seconds,ALOHA,150,trial_20260309_211329
194.0,packets/sec,0.13690335841313261,seconds,TDMA,150,trial_20260309_211329
194.0,packets/sec,0.001884763636363633,seconds,CSMA_CA,150,trial_20260309_211329
242.0,packets/sec,0.0015071246684350136,seconds,ALOHA,150,trial_20260309_211329
242.0,packets/sec,0.1544287481420311,seconds,TDMA,150,trial_20260309_211329
242.0,packets/sec,0.0020416471713582836,seconds,CSMA_CA,150,trial_20260309_211329
289.0,packets/sec,0.001532361154446178,seconds,ALOHA,150,trial_20260309_211329
289.0,packets/sec,0.16838809623334863,seconds,TDMA,150,trial_20260309_211329
289.0,packets/sec,0.0021895888187556407,seconds,CSMA_CA,150,trial_20260309_211329
336.0,packets/sec,0.0015367434908389683,seconds,ALOHA,150,trial_20260309_211329
336.0,packets/sec,0.1732913250158594,seconds,TDMA,150,trial_20260309_211329
336.0,packets/sec,0.0022398572908036603,seconds,CSMA_CA,150,trial_20260309_211329
384.0,packets/sec,0.0015565728943993228,seconds,ALOHA,150,trial_20260309_211329
384.0,packets/sec,0.2086502384210527,seconds,TDMA,150,trial_20260309_211329
384.0,packets/sec,0.0026586841269841278,seconds,CSMA_CA,150,trial_20260309_211329
431.0,packets/sec,0.0015930035622402706,seconds,ALOHA,150,trial_20260309_211329
431.0,packets/sec,0.2344910982336537,seconds,TDMA,150,trial_20260309_211329
431.0,packets/sec,0.003164939393939376,seconds,CSMA_CA,150,trial_20260309_211329
478.0,packets/sec,0.0016100162080663319,seconds,ALOHA,150,trial_20260309_211329
478.0,packets/sec,0.2704760249574595,seconds,TDMA,150,trial_20260309_211329
478.0,packets/sec,0.003849980106472393,seconds,CSMA_CA,150,trial_20260309_211329
526.0,packets/sec,0.001612894736842106,seconds,ALOHA,150,trial_20260309_211329
526.0,packets/sec,0.317571074682408,seconds,TDMA,150,trial_20260309_211329
526.0,packets/sec,0.006308623787011667,seconds,CSMA_CA,150,trial_20260309_211329
573.0,packets/sec,0.0016393501582835025,seconds,ALOHA,150,trial_20260309_211329
573.0,packets/sec,0.4063887374202675,seconds,TDMA,150,trial_20260309_211329
573.0,packets/sec,0.009222483814625019,seconds,CSMA_CA,150,trial_20260309_211329
621.0,packets/sec,0.0016486148361908037,seconds,ALOHA,150,trial_20260309_211329
621.0,packets/sec,0.5221748340538734,seconds,TDMA,150,trial_20260309_211329
621.0,packets/sec,0.06466855760171328,seconds,CSMA_CA,150,trial_20260309_211329
668.0,packets/sec,0.0016597801513877264,seconds,ALOHA,150,trial_20260309_211329
668.0,packets/sec,0.6037502389295952,seconds,TDMA,150,trial_20260309_211329
668.0,packets/sec,0.5560382712678814,seconds,CSMA_CA,150,trial_20260309_211329
715.0,packets/sec,0.0016785030060120173,seconds,ALOHA,150,trial_20260309_211329
715.0,packets/sec,0.7452977935582807,seconds,TDMA,150,trial_20260309_211329
715.0,packets/sec,0.9170868674884429,seconds,CSMA_CA,150,trial_20260309_211329
763.0,packets/sec,0.0016798961885656886,seconds,ALOHA,150,trial_20260309_211329
763.0,packets/sec,0.9108479414119707,seconds,TDMA,150,trial_20260309_211329
763.0,packets/sec,1.2341325789473712,seconds,CSMA_CA,150,trial_20260309_211329
810.0,packets/sec,0.0016875858066655507,seconds,ALOHA,150,trial_20260309_211329
810.0,packets/sec,1.2043994207816964,seconds,TDMA,150,trial_20260309_211329
810.0,packets/sec,1.454390751276357,seconds,CSMA_CA,150,trial_20260309_211329
857.0,packets/sec,0.00170549026136175,seconds,ALOHA,150,trial_20260309_211329
857.0,packets/sec,1.414037224244702,seconds,TDMA,150,trial_20260309_211329
857.0,packets/sec,1.8123896836302875,seconds,CSMA_CA,150,trial_20260309_211329
905.0,packets/sec,0.0017161975034199676,seconds,ALOHA,150,trial_20260309_211329
905.0,packets/sec,1.6217029140610495,seconds,TDMA,150,trial_20260309_211329
905.0,packets/sec,2.1413305989949727,seconds,CSMA_CA,150,trial_20260309_211329
952.0,packets/sec,0.0017074119448698304,seconds,ALOHA,150,trial_20260309_211329
952.0,packets/sec,1.875929631651884,seconds,TDMA,150,trial_20260309_211329
952.0,packets/sec,2.357673667967447,seconds,CSMA_CA,150,trial_20260309_211329
1000.0,packets/sec,0.0017300914941729062,seconds,ALOHA,150,trial_20260309_211329
1000.0,packets/sec,2.074338869553223,seconds,TDMA,150,trial_20260309_211329
1000.0,packets/sec,2.605177853325881,seconds,CSMA_CA,150,trial_20260309_211329
