timestamp,state,traffic_rate,traffic_rate_unit,tdma_delay,csma_delay,delay_unit,tdma_throughput,csma_throughput,throughput_unit,qlearning_selected_mac,reward_tdma,reward_csma,q_tdma_before,q_csma_before,q_tdma_after,q_csma_after,reward_selected,epsilon,alpha,gamma,n_bins
0,0,100.0,pps,0.15510754470709118,0.011896935185185179,s,0.7784,0.7776,Mbps,CSMA_CA,2.8490543257930767e-12,0.4994861253847643,0.0,0.0,2.849054325793077e-13,0.04994861253847643,0.4994861253847643,0.0,0.1,0.0,10
1,0,147.0,pps,0.37943044230769185,0.6201768222222219,s,1.1232,0.972,Mbps,TDMA,0.4999999999995548,-0.0673076923060007,2.849054325793077e-13,0.04994861253847643,0.050000000000211896,0.03822298205402872,0.4999999999995548,0.0,0.1,0.0,10
2,1,194.0,pps,1.0876265777089793,1.367696348154362,s,1.292,0.9536,Mbps,TDMA,0.499999999999613,-0.13095975232048185,0.0,0.0,0.0499999999999613,-0.013095975232048186,0.499999999999613,0.0,0.1,0.0,10
3,1,242.0,pps,1.4068346548995723,1.788896293967715,s,1.3144,0.9416,Mbps,TDMA,0.4999999999996196,-0.14181375532458773,0.0499999999999613,-0.013095975232048186,0.09499999999992713,-0.02596775324130214,0.4999999999996196,0.0,0.1,0.0,10
4,2,289.0,pps,1.7476030344827562,2.070688382674513,s,1.3224,0.9512,Mbps,TDMA,0.49999999999962186,-0.1403508771917069,0.0,0.0,0.049999999999962186,-0.014035087719170692,0.49999999999962186,0.0,0.1,0.0,10
5,2,336.0,pps,1.7490763547215498,2.0210736891891883,s,1.3216,0.9472,Mbps,TDMA,0.49999999999962164,-0.14164648910254923,0.049999999999962186,-0.014035087719170692,0.09499999999992814,-0.026796227857508546,0.49999999999962164,0.0,0.1,0.0,10
6,3,384.0,pps,1.876298286751362,2.3206089230769207,s,1.3224,0.936,Mbps,TDMA,0.49999999999962186,-0.14609800362890635,0.0,0.0,0.049999999999962186,-0.014609800362890635,0.49999999999962186,0.0,0.1,0.0,10
7,3,431.0,pps,1.9205609111782493,2.2530936051502155,s,1.324,0.932,Mbps,TDMA,0.4999999999996223,-0.1480362537751973,0.049999999999962186,-0.014609800362890635,0.0949999999999282,-0.027952445704121302,0.4999999999996223,0.0,0.1,0.0,10
8,4,478.0,pps,1.9412679378394697,2.306231429305908,s,1.3256,0.9336,Mbps,TDMA,0.4999999999996228,-0.14785757392768267,0.0,0.0,0.04999999999996228,-0.014785757392768268,0.4999999999996228,0.0,0.1,0.0,10
9,4,526.0,pps,1.9758105950512943,2.3549587212276224,s,1.3256,0.9384,Mbps,TDMA,0.4999999999996228,-0.14604707302248482,0.04999999999996228,-0.014785757392768268,0.09499999999992834,-0.02791188895573992,0.4999999999996228,0.0,0.1,0.0,10
10,5,573.0,pps,1.9909614086799305,2.441883067125647,s,1.3272,0.9296,Mbps,TDMA,0.49999999999962325,-0.14978902953502005,0.0,0.0,0.049999999999962325,-0.014978902953502005,0.49999999999962325,0.0,0.1,0.0,10
11,5,621.0,pps,1.9990856521739118,2.4499174267569854,s,1.3248,0.9448,Mbps,TDMA,0.4999999999996225,-0.1434178743952954,0.049999999999962325,-0.014978902953502005,0.09499999999992835,-0.027822800097681344,0.4999999999996225,0.0,0.1,0.0,10
12,6,668.0,pps,2.0014019837251347,2.399931076271189,s,1.3272,0.944,Mbps,TDMA,0.49999999999962325,-0.14436407474283497,0.0,0.0,0.049999999999962325,-0.014436407474283498,0.49999999999962325,0.0,0.1,0.0,10
13,6,715.0,pps,2.0176571006024084,2.380828281407035,s,1.328,0.9552,Mbps,TDMA,0.49999999999962347,-0.14036144578202664,0.049999999999962325,-0.014436407474283498,0.09499999999992845,-0.027028911305057815,0.49999999999962347,0.0,0.1,0.0,10
14,7,763.0,pps,2.018120763253013,2.4359646472081224,s,1.328,0.9456,Mbps,TDMA,0.49999999999962347,-0.14397590361352935,0.0,0.0,0.04999999999996235,-0.014397590361352935,0.49999999999962347,0.0,0.1,0.0,10
15,7,810.0,pps,2.0282167797833948,2.4662513148788876,s,1.3296,0.9248,Mbps,TDMA,0.4999999999996239,-0.1522262334527904,0.04999999999996235,-0.014397590361352935,0.0949999999999285,-0.028180454670496683,0.4999999999996239,0.0,0.1,0.0,10
16,8,857.0,pps,2.0415046855763443,2.3954964671221175,s,1.3256,0.9368,Mbps,TDMA,0.4999999999996228,-0.14665057332414078,0.0,0.0,0.04999999999996228,-0.014665057332414078,0.4999999999996228,0.0,0.1,0.0,10
17,8,905.0,pps,2.0445998922335957,2.402939789383563,s,1.3288,0.9344,Mbps,TDMA,0.4999999999996237,-0.14840457555576275,0.04999999999996228,-0.014665057332414078,0.09499999999992842,-0.028039009154748946,0.4999999999996237,0.0,0.1,0.0,10
18,9,952.0,pps,2.0479500325301174,2.419355113989638,s,1.328,0.9264,Mbps,TDMA,0.49999999999962347,-0.15120481927602492,0.0,0.0,0.04999999999996235,-0.015120481927602493,0.49999999999962347,0.0,0.1,0.0,10
19,9,1000.0,pps,2.0519413644578286,2.418924678327648,s,1.328,0.9376,Mbps,TDMA,0.49999999999962347,-0.1469879518061324,0.04999999999996235,-0.015120481927602493,0.09499999999992847,-0.028307228915455486,0.49999999999962347,0.0,0.1,0.0,10
