traffic_rate_pps,selected_mac,action,reward,throughput_mbps,delay_ms,drops,collisions,baseline_tdma_throughput,baseline_csma_throughput,baseline_tdma_delay,baseline_csma_delay
100.0,CSMA_CA,1,-0.33707865168539325,0.0,0.0,60,2,0.7784,0.7776,0.15510754470709118,0.011896935185185179
147.0,CSMA_CA,1,-0.2903225806451613,0.0,0.0,90,8,1.1232,0.972,0.37943044230769185,0.6201768222222219
194.0,CSMA_CA,1,-0.32124352331606215,0.0,0.0,124,8,1.292,0.9536,1.0876265777089793,1.367696348154362
242.0,TDMA,0,-0.32456140350877194,0.0,0.0,148,0,1.3144,0.9416,1.4068346548995723,1.788896293967715
289.0,CSMA_CA,1,-0.2987220447284345,0.0,0.0,187,31,1.3224,0.9512,1.7476030344827562,2.070688382674513
336.0,TDMA,0,-0.2728658536585366,0.0,0.0,179,0,1.3216,0.9472,1.7490763547215498,2.0210736891891883
384.0,CSMA_CA,1,-0.3220108695652174,0.0,0.0,237,65,1.3224,0.936,1.876298286751362,2.3206089230769207
431.0,CSMA_CA,1,-0.3329938900203666,0.0,0.0,327,136,1.324,0.932,1.9205609111782493,2.2530936051502155
478.0,TDMA,0,-0.2598684210526316,0.0,0.0,237,0,1.3256,0.9336,1.9412679378394697,2.306231429305908
526.0,CSMA_CA,1,-0.3681240298507462,0.06,9.404999999999996,347,208,1.3256,0.9384,1.9758105950512943,2.3549587212276224
573.0,CSMA_CA,1,-0.3062080536912752,0.0,0.0,365,206,1.3272,0.9296,1.9909614086799305,2.441883067125647
621.0,TDMA,0,-0.26253918495297807,0.0,0.0,335,0,1.3248,0.9448,1.9990856521739118,2.4499174267569854
668.0,TDMA,0,-0.23347701149425287,0.0,0.0,325,0,1.3272,0.944,2.0014019837251347,2.399931076271189
715.0,TDMA,0,-0.24559023066485752,0.0,0.0,362,0,1.328,0.9552,2.0176571006024084,2.380828281407035
763.0,TDMA,0,-0.24862258953168045,0.0,0.0,361,0,1.328,0.9456,2.018120763253013,2.4359646472081224
810.0,TDMA,0,-0.22749391727493917,0.0,0.0,374,0,1.3296,0.9248,2.0282167797833948,2.4662513148788876
857.0,CSMA_CA,1,-0.26977567886658793,0.0,0.0,457,560,1.3256,0.9368,2.0415046855763443,2.3954964671221175
905.0,CSMA_CA,1,-0.24136069114470843,0.0,0.0,447,525,1.3288,0.9344,2.0445998922335957,2.402939789383563
952.0,TDMA,0,-0.22300981461286803,0.0,0.0,409,0,1.328,0.9264,2.0479500325301174,2.419355113989638
1000.0,CSMA_CA,1,-0.23873873873873874,0.0,0.0,477,661,1.328,0.9376,2.0519413644578286,2.418924678327648
