traffic_load_pps,selected_mac,reward,throughput_mbps,delay_ms,drops,collisions,baseline_tdma_throughput_mbps,baseline_csma_throughput_mbps,baseline_tdma_delay_s,baseline_csma_delay_s
100.0,TDMA,-0.3081,0.0,0.0,61,0,1.18,1.1824,0.118937,0.001671
147.0,CSMA_CA,-0.2903,0.0,0.0,90,8,1.7552,1.8032,0.126306,0.001759
194.0,CSMA_CA,-0.3212,0.0,0.0,124,8,2.3392,2.332,0.136903,0.001885
242.0,TDMA,-0.3246,0.0,0.0,148,0,2.9064,2.9272,0.154429,0.002042
289.0,TDMA,-0.2626,0.0,0.0,167,0,3.4832,3.5488,0.168388,0.00219
336.0,CSMA_CA,-0.3125,0.0,0.0,220,52,3.7832,3.8624,0.173291,0.00224
384.0,TDMA,-0.2663,0.0,0.0,196,0,4.56,4.536,0.20865,0.002659
431.0,CSMA_CA,-0.333,0.0,0.0,327,136,5.1632,5.2272,0.234491,0.003165
478.0,TDMA,-0.2599,0.0,0.0,237,0,5.6416,5.7104,0.270476,0.00385
526.0,TDMA,-1.3623,0.024,183.978,268,0,6.2344,6.4304,0.317571,0.006309
573.0,CSMA_CA,-0.3062,0.0,0.0,365,206,6.7728,6.8704,0.406389,0.009222
621.0,CSMA_CA,-0.3128,0.0,0.0,391,262,7.2168,7.472,0.522175,0.064669
668.0,CSMA_CA,-0.313,0.0,0.0,405,319,7.5336,7.3256,0.60375,0.556038
715.0,CSMA_CA,-0.2934,0.0,0.0,429,376,7.824,7.2688,0.745298,0.917087
763.0,CSMA_CA,-0.2719,0.0,0.0,434,422,8.1928,7.2352,0.910848,1.234133
810.0,CSMA_CA,-0.27,0.0,0.0,432,439,8.392,7.208,1.204399,1.454391
857.0,CSMA_CA,-0.2698,0.0,0.0,457,560,8.5264,7.184,1.414037,1.81239
905.0,TDMA,-0.2234,0.0,0.0,391,0,8.648,7.164,1.621703,2.141331
952.0,CSMA_CA,-0.2562,0.0,0.0,475,636,8.6592,7.1752,1.87593,2.357674
1000.0,TDMA,-0.2112,0.0,0.0,430,0,8.7024,7.156,2.074339,2.605178
