Offered_Load_pps,ALOHA_Throughput_Mbps,TDMA_Throughput_Mbps,CSMA_Throughput_Mbps,ALOHA_Drops,TDMA_Drops,CSMA_Drops,ALOHA_Q_len,TDMA_Q_len,CSMA_Q_len,ALOHA_Delay_s,TDMA_Delay_s,CSMA_Delay_s,ALOHA_Util,TDMA_Util,CSMA_Util,ALOHA_Collisions,TDMA_Collisions,CSMA_Collisions
100,1.1664,1.18,1.1824,26,0,0,5.8211988357602326e-05,0.07735838052832389,0.00013403197319360535,0.0014191419753086488,0.11893684881355945,0.0016709736129905345,0.13150737369852525,0.26372994725401055,0.14454837109032578,13,0,0
147,1.6944,1.7552,1.8032,95,0,0,0.00012887597422480516,0.1225766034846793,0.0002928359414328117,0.0014463441926345626,0.12630552415679097,0.0017593163265305996,0.19337636132472774,0.3922073215585357,0.22048015590396883,46,0,5
194,2.2336,2.3392,2.332,154,0,0,0.00021611195677760864,0.17787900442419913,0.0005412358917528217,0.0014824469914040013,0.13690335841313261,0.001884763636363633,0.25624734875053023,0.5227312954537409,0.2851571429685714,75,0,9
242,2.7144,2.9064,2.9272,277,0,0,0.00033119193376161327,0.24886397422720516,0.0009345038130992374,0.0015071246684350136,0.1544287481420311,0.0020416471713582836,0.3152897369420526,0.649580270083946,0.3581543283691343,134,0,39
289,3.0768,3.4832,3.5488,562,0,0,0.00048813590237281953,0.32599093080181385,0.001424623715075257,0.001532361154446178,0.16838809623334863,0.0021895888187556407,0.36707632658473466,0.7784152443169511,0.4343009131398174,260,0,59
336,3.3184,3.7832,3.8624,643,0,0,0.0005446278910744218,0.3654118429176314,0.0016583796683240664,0.0015367434908389683,0.1732913250158594,0.0022398572908036603,0.3973829205234159,0.8455450308909939,0.4726277054744589,297,0,68
384,3.7424,4.56,4.536,1095,0,0,0.0007694038461192308,0.5312807777438444,0.0030030433993913203,0.0015565728943993228,0.2086502384210527,0.0026586841269841278,0.4629131074173785,1.0190799961840007,0.5555242888951423,500,0,128
431,4.0424,5.1632,5.2272,1506,0,0,0.0010050477989904402,0.6787824162435168,0.004930815013836997,0.0015930035622402706,0.2344910982336537,0.003164939393939376,0.5126194974761005,1.1538951692209662,0.6411160717767856,681,0,270
478,4.2448,5.6416,5.7104,1889,0,0,0.0011821197635760474,0.8590502201899559,0.007560102487979502,0.0016100162080663319,0.2704760249574595,0.003849980106472393,0.549541690091662,1.2608175478364905,0.701393259721348,841,0,425
526,4.408,6.2344,6.4304,2423,0,0,0.0013696997260600548,1.1155945528810893,0.017340596531880692,0.001612894736842106,0.317571074682408,0.006308623787011667,0.5877154824569035,1.3933083213383357,0.7929892414021518,1064,0,893
573,4.5488,6.7728,6.8704,3045,0,0,0.001651379669724066,1.571310789737842,0.029601814079637183,0.0016393501582835025,0.4063887374202675,0.009222483814625019,0.6266752746649451,1.5136406972718606,0.849923230015354,1324,0,1285
621,4.7128,7.2168,7.472,3508,0,5,0.0018556236288752742,2.1791662241667553,0.3030369793926041,0.0016486148361908037,0.5221748340538734,0.06466855760171328,0.6628840674231865,1.6128746774250644,0.9426700114659977,1524,0,3749
668,4.756,7.5336,7.3256,4035,0,83,0.002049119590176082,2.6951854649629072,2.9185217482956505,0.0016597801513877264,0.6037502389295952,0.5560382712678814,0.6857668628466275,1.6836794632641074,0.9477100104579979,1726,0,6690
715,4.7904,7.824,7.2688,4607,0,135,0.0022528075494384903,3.5211929277614145,5.18651965069607,0.0016785030060120173,0.7452977935582807,0.9170868674884429,0.7096570580685884,1.74858385028323,0.9464578107084378,1950,0,7418
763,4.7856,8.1928,7.2352,5427,0,147,0.0025117074976585005,4.738253272349345,7.500431143913771,0.0016798961885656886,0.9108479414119707,1.2341325789473712,0.7384144523171096,1.8310106337978733,0.9449488110102378,2278,0,7756
810,4.8248,8.392,7.208,6123,0,185,0.0027462034507593097,6.598738168252367,9.235125472974905,0.0016875858066655507,1.2043994207816964,1.454390751276357,0.7628500474299905,1.875531824893635,0.9448570110285978,2502,0,8164
857,4.8056,8.5264,7.184,6945,0,203,0.0030368473926305215,8.310859689828062,12.066669858666028,0.00170549026136175,1.414037224244702,1.8123896836302875,0.7884556423088716,1.9055702188859562,0.9442024111595178,2813,0,8467
905,4.6784,8.648,7.164,7791,0,226,0.003308099338380132,10.041799011640197,15.290567445886511,0.0017161975034199676,1.6217029140610495,2.1413305989949727,0.8041528391694321,1.9327478134504372,0.9437974112405177,3147,0,8718
952,4.7016,8.6592,7.1752,8356,0,241,0.003445991310801738,12.036760940647811,17.069243486151304,0.0017074119448698304,1.875929631651884,2.357673667967447,0.8217382356523528,1.9352510129497975,0.9441256111748778,3315,0,8588
1000,4.5992,8.7024,7.156,9129,0,248,0.0037068032586393485,13.964517771096446,19.367206350558728,0.0017300914941729062,2.074338869553223,2.605177853325881,0.8357464328507135,1.9449062110187578,0.9435592112881578,3600,0,8818
